id,forWeightedVotes,againstWeightedVotes,totalWeightedVotes,timestamp,blockNumber,proposal.id
30-18991,13,1,14,1640896253,13908845,30
30-18992,30,2,32,1640990806,13915834,30
30-18993,32,2,34,1641069314,13921728,30
31-18999,13,0,13,1641580758,13959950,31
31-19000,32,0,32,1641681622,13967560,31
31-19001,33,0,33,1641738919,13971903,31
3-18873,3,0,3,1630704172,13155162,3
3-18874,5,0,5,1630798998,13162239,3
3-18875,7,0,7,1630852895,13166315,3
3-18876,14,0,14,1630945640,13173249,3
32-19000,35,0,35,1641679848,13967403,32
32-19001,36,0,36,1641738978,13971909,32
33-19005,39,0,39,1642112430,13999814,33
33-19006,57,0,57,1642185189,14005258,33
33-19007,64,1,65,1642280102,14012339,33
33-19008,75,1,76,1642359810,14018351,33
34-19006,41,0,41,1642185228,14005260,34
34-19007,43,0,43,1642280176,14012348,34
34-19008,51,0,51,1642357662,14018178,34
35-19014,30,0,30,1642881786,14057442,35
35-19015,31,0,31,1642936576,14061530,35
35-19016,47,0,47,1643046946,14069814,35
36-19019,36,1,37,1643321764,14090341,36
36-19020,38,1,39,1643411640,14097075,36
36-19021,45,1,46,1643415411,14097376,36
37-19029,19,14,33,1644190565,14155512,37
37-19030,50,14,64,1644274389,14161800,37
38-19036,5,0,5,1644784771,14200031,38
38-19037,33,0,33,1644875953,14206810,38
38-19038,51,0,51,1644969299,14213828,38
38-19039,72,0,72,1645003390,14216311,38
39-19041,47,0,47,1645214669,14232119,39
39-19042,49,0,49,1645300321,14238449,39
39-19043,56,0,56,1645326966,14240466,39
40-19051,10,0,10,1646086418,14297285,40
40-19052,62,0,62,1646177624,14304152,40
40-19053,70,0,70,1646187503,14304862,40
41-19055,19,0,19,1646424669,14322583,41
41-19056,25,0,25,1646520651,14329678,41
41-19057,42,0,42,1646595227,14335211,41
4-18876,3,0,3,1630955536,13174009,4
4-18877,9,0,9,1631056705,13181529,4
4-18878,14,0,14,1631112365,13185747,4
42-19056,9,0,9,1646522285,14329790,42
42-19057,24,0,24,1646595615,14335249,42
42-19058,36,0,36,1646684812,14341849,42
42-19059,61,0,61,1646774827,14348571,42
43-19062,6,0,6,1647041711,14368456,43
43-19063,23,0,23,1647124085,14374653,43
43-19064,38,0,38,1647212113,14381124,43
43-19065,67,0,67,1647293158,14387161,43
44-19070,22,0,22,1647724305,14419244,44
44-19071,23,0,23,1647820638,14426352,44
44-19072,72,1,74,1647898124,14432121,44
44-19073,78,1,80,1647931807,14434604,44
45-19076,21,0,21,1648208553,14455224,45
45-19077,24,0,24,1648262088,14459196,45
45-19078,61,0,61,1648414565,14470532,45
46-19078,55,0,55,1648414676,14470541,46
46-19079,56,0,57,1648508812,14477537,46
46-19080,65,0,68,1648588559,14483480,46
47-19084,6,0,7,1648942976,14509734,47
47-19085,9,0,10,1648995177,14513603,47
47-19086,39,0,41,1649112670,14522284,47
47-19087,41,0,43,1649117225,14522606,47
48-19084,1,0,1,1648943180,14509749,48
48-19085,6,0,6,1649001724,14514065,48
48-19086,35,5,40,1649113048,14522313,48
48-19087,66,5,71,1649177773,14527159,48
49-19086,12,3,15,1649115877,14522522,49
49-19087,28,4,58,1649173506,14526815,49
49-19088,28,8,63,1649282680,14534902,49
49-19089,33,9,70,1649339522,14539117,49
50-19089,0,12,12,1649366736,14541182,50
51-19092,9,0,10,1649614353,14559460,51
51-19093,54,0,55,1649720978,14567420,51
51-19094,63,0,65,1649798672,14573189,51
5-18886,3,0,3,1631815021,13238245,5
5-18887,5,0,5,1631849949,13240884,5
5-18888,8,0,8,1632000989,13252185,5
5-18889,17,0,17,1632066776,13257043,5
